STN,YYYYMMDD,TX
  240,20190301,   82
  240,20190302,  125
  240,20190303,  120
  240,20190304,  122
  240,20190305,  100
  240,20190306,  108
  240,20190307,  117
  240,20190308,   99
  240,20190309,  113
  240,20190310,   95
  240,20190311,   86
  240,20190312,   90
  240,20190313,   95
  240,20190314,  110
  240,20190315,  127
  240,20190316,  113
  240,20190317,  101
  240,20190318,   93
  240,20190319,  120
  240,20190320,  130
  240,20190321,   99
  240,20190322,  158
  240,20190323,  119
  240,20190324,  105
  240,20190325,   98
  240,20190326,  104
  240,20190327,  129
  240,20190328,  104
  240,20190329,  171
  240,20190330,  173
  240,20190331,  113
