"Region","Year","0-27 days","1-59 months","0-4 years"
"Africa Region","2017","0","43382","43382"
"Africa Region","2016","0","91225","91225"
"Africa Region","2015","0","71849","71849"
"Africa Region","2014","0","58900","58900"
"Africa Region","2013","0","97993","97993"
"Africa Region","2012","0","62861","62861"
"Africa Region","2011","0","92407","92407"
"Africa Region","2010","0","59510","59510"
"Africa Region","2009","0","63308","63308"
"Africa Region","2008","0","73558","73558"
"Africa Region","2007","0","45833","45833"
"Africa Region","2006","0","74368","74368"
"Africa Region","2005","0","224419","224419"
"Africa Region","2004","0","131746","131746"
"Africa Region","2003","0","310264","310264"
"Africa Region","2002","0","280527","280527"
"Africa Region","2001","0","290839","290839"
"Africa Region","2000","0","320126","320126"
"Region of the Americas","2017","0","0","0"
"Region of the Americas","2016","0","0","0"
"Region of the Americas","2015","0","0","0"
"Region of the Americas","2014","0","0","0"
"Region of the Americas","2013","0","1","1"
"Region of the Americas","2012","0","0","0"
"Region of the Americas","2011","0","0","0"
"Region of the Americas","2010","0","0","0"
"Region of the Americas","2009","0","0","0"
"Region of the Americas","2008","0","0","0"
"Region of the Americas","2007","0","0","0"
"Region of the Americas","2006","0","0","0"
"Region of the Americas","2005","0","2","2"
"Region of the Americas","2004","0","0","0"
"Region of the Americas","2003","0","2","2"
"Region of the Americas","2002","0","2","2"
"Region of the Americas","2001","0","0","0"
"Region of the Americas","2000","0","2","2"
"South-East Asia Region","2017","0","26659","26659"
"South-East Asia Region","2016","0","29665","29665"
"South-East Asia Region","2015","0","39949","39949"
"South-East Asia Region","2014","0","41013","41013"
"South-East Asia Region","2013","0","28397","28397"
"South-East Asia Region","2012","0","39431","39431"
"South-East Asia Region","2011","0","62129","62129"
"South-East Asia Region","2010","0","61846","61846"
"South-East Asia Region","2009","0","86249","86249"
"South-East Asia Region","2008","0","72753","72753"
"South-East Asia Region","2007","0","77757","77757"
"South-East Asia Region","2006","0","124914","124914"
"South-East Asia Region","2005","0","101034","101034"
"South-East Asia Region","2004","0","144735","144735"
"South-East Asia Region","2003","0","121394","121394"
"South-East Asia Region","2002","0","113596","113596"
"South-East Asia Region","2001","0","134776","134776"
"South-East Asia Region","2000","0","117506","117506"
"European Region","2017","0","37","37"
"European Region","2016","0","38","38"
"European Region","2015","0","40","40"
"European Region","2014","0","37","37"
"European Region","2013","0","40","40"
"European Region","2012","0","41","41"
"European Region","2011","0","43","43"
"European Region","2010","0","46","46"
"European Region","2009","0","23","23"
"European Region","2008","0","27","27"
"European Region","2007","0","46","46"
"European Region","2006","0","67","67"
"European Region","2005","0","66","66"
"European Region","2004","0","49","49"
"European Region","2003","0","58","58"
"European Region","2002","0","65","65"
"European Region","2001","0","48","48"
"European Region","2000","0","57","57"
"Eastern Mediterranean Region","2017","0","20525","20525"
"Eastern Mediterranean Region","2016","0","22236","22236"
"Eastern Mediterranean Region","2015","0","26683","26683"
"Eastern Mediterranean Region","2014","0","31526","31526"
"Eastern Mediterranean Region","2013","0","19996","19996"
"Eastern Mediterranean Region","2012","0","27756","27756"
"Eastern Mediterranean Region","2011","0","34808","34808"
"Eastern Mediterranean Region","2010","0","10553","10553"
"Eastern Mediterranean Region","2009","0","10402","10402"
"Eastern Mediterranean Region","2008","0","8367","8367"
"Eastern Mediterranean Region","2007","0","11023","11023"
"Eastern Mediterranean Region","2006","0","17267","17267"
"Eastern Mediterranean Region","2005","0","20437","20437"
"Eastern Mediterranean Region","2004","0","29030","29030"
"Eastern Mediterranean Region","2003","0","38384","38384"
"Eastern Mediterranean Region","2002","0","34753","34753"
"Eastern Mediterranean Region","2001","0","38223","38223"
"Eastern Mediterranean Region","2000","0","36752","36752"
"Western Pacific Region","2017","0","1046","1046"
"Western Pacific Region","2016","0","1445","1445"
"Western Pacific Region","2015","0","1824","1824"
"Western Pacific Region","2014","0","5183","5183"
"Western Pacific Region","2013","0","1283","1283"
"Western Pacific Region","2012","0","959","959"
"Western Pacific Region","2011","0","1687","1687"
"Western Pacific Region","2010","0","2461","2461"
"Western Pacific Region","2009","0","3384","3384"
"Western Pacific Region","2008","0","4479","4479"
"Western Pacific Region","2007","0","5462","5462"
"Western Pacific Region","2006","0","4559","4559"
"Western Pacific Region","2005","0","5496","5496"
"Western Pacific Region","2004","0","5714","5714"
"Western Pacific Region","2003","0","6700","6700"
"Western Pacific Region","2002","0","7255","7255"
"Western Pacific Region","2001","0","7552","7552"
"Western Pacific Region","2000","0","8496","8496"
"World","2017","0","91650","91650"
"World","2016","0","144609","144609"
"World","2015","0","140346","140346"
"World","2014","0","136658","136658"
"World","2013","0","147710","147710"
"World","2012","0","131047","131047"
"World","2011","0","191074","191074"
"World","2010","0","134417","134417"
"World","2009","0","163367","163367"
"World","2008","0","159183","159183"
"World","2007","0","140121","140121"
"World","2006","0","221174","221174"
"World","2005","0","351453","351453"
"World","2004","0","311273","311273"
"World","2003","0","476802","476802"
"World","2002","0","436200","436200"
"World","2001","0","471438","471438"
"World","2000","0","482938","482938"
